cell_id,lat,lon,horizon_hours,forecast_aqi,severity,priority_band,dominant_source,confidence,priority_score,recommended_action,evidence
544,28.566667,77.169231,72,186.3,High,CRITICAL,Traffic/Roads,0.754,69.75,Deploy traffic police,"AQI=186.3, source=Traffic/Roads (68.1%), confidence=75%"
759,28.630769,77.4,24,161.3,High,CRITICAL,Traffic/Roads,0.814,68.94333333333333,Deploy traffic police,"AQI=161.3, source=Traffic/Roads (78.9%), confidence=81%"
832,28.65641,77.292308,72,189.6,High,CRITICAL,Traffic/Roads,0.736,68.68,Deploy traffic police,"AQI=189.6, source=Traffic/Roads (61.8%), confidence=74%"
832,28.65641,77.292308,24,171.2,High,CRITICAL,Traffic/Roads,0.823,68.67333333333333,Deploy traffic police,"AQI=171.2, source=Traffic/Roads (68.4%), confidence=82%"
544,28.566667,77.169231,24,168.2,High,CRITICAL,Traffic/Roads,0.788,67.87333333333333,Deploy traffic police,"AQI=168.2, source=Traffic/Roads (70.4%), confidence=79%"
870,28.669231,77.261538,72,167.1,High,CRITICAL,Traffic/Roads,0.792,67.27,Deploy traffic police,"AQI=167.1, source=Traffic/Roads (67.9%), confidence=79%"
659,28.605128,77.092308,24,160.5,High,CRITICAL,Traffic/Roads,0.814,66.81,Deploy traffic police,"AQI=160.5, source=Traffic/Roads (68.9%), confidence=81%"
870,28.669231,77.261538,24,161.3,High,CRITICAL,Traffic/Roads,0.784,66.32333333333332,Deploy traffic police,"AQI=161.3, source=Traffic/Roads (68.8%), confidence=78%"
746,28.630769,77.2,24,168.7,High,CRITICAL,Traffic/Roads,0.744,66.11666666666666,Deploy traffic police,"AQI=168.7, source=Traffic/Roads (65.6%), confidence=74%"
759,28.630769,77.4,72,164.7,High,CRITICAL,Traffic/Roads,0.699,65.81,Deploy traffic police,"AQI=164.7, source=Traffic/Roads (71.9%), confidence=70%"
966,28.707692,76.892308,24,160.6,High,CRITICAL,Industry,0.765,65.62666666666667,Inspect industrial units,"AQI=160.6, source=Industry (67.8%), confidence=76%"
913,28.682051,77.307692,24,170.3,High,CRITICAL,Traffic/Roads,0.716,65.58333333333334,Deploy traffic police,"AQI=170.3, source=Traffic/Roads (64.4%), confidence=72%"
779,28.64359,77.092308,72,164.7,High,CRITICAL,Traffic/Roads,0.763,65.53,Deploy traffic police,"AQI=164.7, source=Traffic/Roads (64.1%), confidence=76%"
98,28.425641,77.076923,72,183.9,High,CRITICAL,Traffic/Roads,0.648,65.50999999999999,Deploy traffic police,"AQI=183.9, source=Traffic/Roads (59.5%), confidence=65%"
870,28.669231,77.261538,48,145.8,Moderate,CRITICAL,Traffic/Roads,0.844,65.44,Deploy traffic police,"AQI=145.8, source=Traffic/Roads (71.3%), confidence=84%"
57,28.412821,77.061538,72,183.9,High,CRITICAL,Traffic/Roads,0.616,65.43,Deploy traffic police,"AQI=183.9, source=Traffic/Roads (62.3%), confidence=62%"
218,28.464103,77.076923,72,189.9,High,HIGH,Traffic/Roads,0.634,64.61,Deploy traffic police,"AQI=189.9, source=Traffic/Roads (51.4%), confidence=63%"
30,28.4,77.261538,72,168.1,High,HIGH,Construction/Dust,0.681,64.57666666666667,Dust suppression,"AQI=168.1, source=Construction/Dust (64.7%), confidence=68%"
218,28.464103,77.076923,48,161.4,High,HIGH,Traffic/Roads,0.757,64.36000000000001,Deploy traffic police,"AQI=161.4, source=Traffic/Roads (61.6%), confidence=76%"
837,28.65641,77.369231,48,142.4,Moderate,HIGH,Traffic/Roads,0.829,64.33333333333333,Deploy traffic police,"AQI=142.4, source=Traffic/Roads (70.1%), confidence=83%"
