rank,severity,cell_id,lat,lon,forecast_aqi,dominant_source,priority_score,recommended_action,evidence
1,CRITICAL,544,28.566667,77.169231,186.3,Traffic/Roads,69.75,Deploy traffic police,"AQI=186.3, source=Traffic/Roads (68.1%), confidence=75%"
2,CRITICAL,759,28.630769,77.4,164.7,Traffic/Roads,68.94333333333333,Deploy traffic police,"AQI=161.3, source=Traffic/Roads (78.9%), confidence=81%"
3,CRITICAL,832,28.65641,77.292308,189.6,Traffic/Roads,68.68,Deploy traffic police,"AQI=189.6, source=Traffic/Roads (61.8%), confidence=74%"
4,CRITICAL,870,28.669231,77.261538,167.1,Traffic/Roads,67.27,Deploy traffic police,"AQI=167.1, source=Traffic/Roads (67.9%), confidence=79%"
5,CRITICAL,659,28.605128,77.092308,164.6,Traffic/Roads,66.81,Deploy traffic police,"AQI=160.5, source=Traffic/Roads (68.9%), confidence=81%"
6,CRITICAL,746,28.630769,77.2,186.6,Traffic/Roads,66.11666666666666,Deploy traffic police,"AQI=168.7, source=Traffic/Roads (65.6%), confidence=74%"
7,CRITICAL,966,28.707692,76.892308,160.6,Industry,65.62666666666667,Inspect industrial units,"AQI=160.6, source=Industry (67.8%), confidence=76%"
8,CRITICAL,913,28.682051,77.307692,189.6,Traffic/Roads,65.58333333333334,Deploy traffic police,"AQI=170.3, source=Traffic/Roads (64.4%), confidence=72%"
9,CRITICAL,779,28.64359,77.092308,164.7,Traffic/Roads,65.53,Deploy traffic police,"AQI=164.7, source=Traffic/Roads (64.1%), confidence=76%"
10,CRITICAL,98,28.425641,77.076923,183.9,Traffic/Roads,65.50999999999999,Deploy traffic police,"AQI=183.9, source=Traffic/Roads (59.5%), confidence=65%"
11,CRITICAL,57,28.412821,77.061538,183.9,Traffic/Roads,65.43,Deploy traffic police,"AQI=183.9, source=Traffic/Roads (62.3%), confidence=62%"
12,HIGH,218,28.464103,77.076923,189.9,Traffic/Roads,64.61,Deploy traffic police,"AQI=189.9, source=Traffic/Roads (51.4%), confidence=63%"
13,HIGH,30,28.4,77.261538,168.1,Construction/Dust,64.57666666666667,Dust suppression,"AQI=168.1, source=Construction/Dust (64.7%), confidence=68%"
14,HIGH,837,28.65641,77.369231,164.6,Traffic/Roads,64.33333333333333,Deploy traffic police,"AQI=142.4, source=Traffic/Roads (70.1%), confidence=83%"
15,HIGH,780,28.64359,77.107692,164.7,Traffic/Roads,64.25,Deploy traffic police,"AQI=164.7, source=Traffic/Roads (60.0%), confidence=74%"
16,HIGH,137,28.438462,77.061538,163.4,Traffic/Roads,64.06333333333333,Deploy traffic police,"AQI=146.3, source=Traffic/Roads (70.4%), confidence=78%"
17,HIGH,794,28.64359,77.323077,201.9,Industry,63.970000000000006,Inspect industrial units,"AQI=201.9, source=Industry (47.1%), confidence=55%"
18,HIGH,838,28.65641,77.384615,164.6,Traffic/Roads,63.83333333333333,Deploy traffic police,"AQI=164.6, source=Traffic/Roads (62.7%), confidence=69%"
19,HIGH,778,28.64359,77.076923,165.0,Traffic/Roads,63.74,Deploy traffic police,"AQI=165.0, source=Traffic/Roads (62.0%), confidence=69%"
20,HIGH,791,28.64359,77.276923,142.3,Traffic/Roads,63.71666666666667,Deploy traffic police,"AQI=138.1, source=Traffic/Roads (70.7%), confidence=83%"
