cell_id,lat,lon,is_estimated,nearest_station,nearest_dist_km,source_timestamp,target_timestamp,horizon_hours,forecast_aqi,source_aqi,Ward_No,Ward_Name,distance_to_ward
743,28.630769,77.153846,1,"Pusa, Delhi - IMD",1.234,2026-07-12 17:00:00,2026-07-14 17:00:00,48,103.4,112.12798309326172,150,PUSA,0.0
789,28.64359,77.246154,1,"ITO, New Delhi - CPCB",1.737,2026-07-12 17:00:00,2026-07-14 17:00:00,48,80.2,72.83272552490234,153,DARYAGANJ,0.0
790,28.64359,77.261538,1,"Income Tax Office, Delhi - CPCB",2.529,2026-07-12 17:00:00,2026-07-14 17:00:00,48,125.8,149.27835083007812,,,0.0
791,28.64359,77.276923,1,"East Arjun Nagar, Delhi - CPCB",2.228,2026-07-12 17:00:00,2026-07-14 17:00:00,48,126.6,151.10914611816406,230,GEETA COLONY,0.0
792,28.64359,77.292308,1,"East Arjun Nagar, Delhi - CPCB",1.396,2026-07-12 17:00:00,2026-07-14 17:00:00,48,99.8,99.76192474365234,228,PREET VIHAR,0.0
793,28.64359,77.307692,1,"Anand Vihar, New Delhi - DPCC",0.89,2026-07-12 17:00:00,2026-07-14 17:00:00,48,122.6,168.59974670410156,227,I.P EXTENTION,0.0
809,28.65641,76.938462,1,"Arya Nagar, Bahadurgarh - HSPCB",1.985,2026-07-12 17:00:00,2026-07-14 17:00:00,48,83.2,89.7345199584961,139,DICHAON KALAN,0.0
810,28.65641,76.953846,1,"Arya Nagar, Bahadurgarh - HSPCB",3.165,2026-07-12 17:00:00,2026-07-14 17:00:00,48,73.9,77.8895034790039,139,DICHAON KALAN,0.0
811,28.65641,76.969231,1,"Arya Nagar, Bahadurgarh - HSPCB",4.539,2026-07-12 17:00:00,2026-07-14 17:00:00,48,129.4,175.91836547851562,139,DICHAON KALAN,0.0
812,28.65641,76.984615,1,"Arya Nagar, Bahadurgarh - HSPCB",5.975,2026-07-12 17:00:00,2026-07-14 17:00:00,48,129.2,174.98794555664062,30,MUNDAKA,0.0
813,28.65641,77.0,1,"NSIT Dwarka, Delhi - CPCB",6.146,2026-07-12 17:00:00,2026-07-14 17:00:00,48,116.0,155.11814880371094,30,MUNDAKA,0.0
814,28.65641,77.015385,1,"NSIT Dwarka, Delhi - CPCB",5.522,2026-07-12 17:00:00,2026-07-14 17:00:00,48,118.4,158.6618194580078,122,HASTSAL,0.0
815,28.65641,77.030769,1,"NSIT Dwarka, Delhi - CPCB",5.265,2026-07-12 17:00:00,2026-07-14 17:00:00,48,120.5,162.8479461669922,121,KUNWAR SINGH NAGAR,0.0
816,28.65641,77.046154,1,"Mundka, Delhi - DPCC",4.323,2026-07-12 17:00:00,2026-07-14 17:00:00,48,108.9,138.57412719726562,121,KUNWAR SINGH NAGAR,0.0
817,28.65641,77.061538,1,"Mundka, Delhi - DPCC",3.469,2026-07-12 17:00:00,2026-07-14 17:00:00,48,87.2,116.8138656616211,32,NILOTHI,0.0
818,28.65641,77.076923,1,"Mundka, Delhi - DPCC",3.143,2026-07-12 17:00:00,2026-07-14 17:00:00,48,88.4,116.8138656616211,44,QUAMMRUDDIN NAGAR,0.0
819,28.65641,77.092308,1,"Mundka, Delhi - DPCC",3.498,2026-07-12 17:00:00,2026-07-14 17:00:00,48,87.2,116.8138656616211,57,PASCHIM VIHAR SOUTH,0.0
820,28.65641,77.107692,1,"Punjabi Bagh, Delhi - DPCC",3.004,2026-07-12 17:00:00,2026-07-14 17:00:00,48,79.1,71.43296813964844,108,KHYALA,0.0
788,28.64359,77.230769,1,New Delhi,1.067,2026-07-12 17:00:00,2026-07-14 17:00:00,48,103.4,99.0755844116211,83,BAZAR SITARAM,0.0
787,28.64359,77.215385,1,New Delhi,1.241,2026-07-12 17:00:00,2026-07-14 17:00:00,48,103.4,99.0755844116211,89,PAHAR GANJ,0.0
786,28.64359,77.2,0,"Mandir Marg, New Delhi - DPCC",0.803,2026-07-12 17:00:00,2026-07-14 17:00:00,48,26.2,22.1,NDMC_3,NDMC CHARGE 3,0.0
785,28.64359,77.184615,1,"Mandir Marg, New Delhi - DPCC",1.792,2026-07-12 17:00:00,2026-07-14 17:00:00,48,88.6,95.55540466308594,149,RAJENDER NAGAR,0.0
753,28.630769,77.307692,1,"Anand Vihar, New Delhi - DPCC",1.963,2026-07-12 17:00:00,2026-07-14 17:00:00,48,94.3,121.04159545898438,227,I.P EXTENTION,0.0
754,28.630769,77.323077,1,"Anand Vihar, New Delhi - DPCC",1.914,2026-07-12 17:00:00,2026-07-14 17:00:00,48,94.9,121.04159545898438,227,I.P EXTENTION,0.0
769,28.64359,76.938462,1,"Arya Nagar, Bahadurgarh - HSPCB",3.212,2026-07-12 17:00:00,2026-07-14 17:00:00,48,73.9,77.8895034790039,139,DICHAON KALAN,0.0
770,28.64359,76.953846,1,"Arya Nagar, Bahadurgarh - HSPCB",4.049,2026-07-12 17:00:00,2026-07-14 17:00:00,48,127.1,159.12420654296875,139,DICHAON KALAN,0.0
771,28.64359,76.969231,1,"Arya Nagar, Bahadurgarh - HSPCB",5.194,2026-07-12 17:00:00,2026-07-14 17:00:00,48,135.7,186.75872802734375,139,DICHAON KALAN,0.0
772,28.64359,76.984615,1,"NSIT Dwarka, Delhi - CPCB",6.05,2026-07-12 17:00:00,2026-07-14 17:00:00,48,116.0,155.11814880371094,139,DICHAON KALAN,0.0
773,28.64359,77.0,1,"NSIT Dwarka, Delhi - CPCB",4.98,2026-07-12 17:00:00,2026-07-14 17:00:00,48,120.5,167.6186981201172,139,DICHAON KALAN,0.0
774,28.64359,77.015385,1,"NSIT Dwarka, Delhi - CPCB",4.186,2026-07-12 17:00:00,2026-07-14 17:00:00,48,116.0,146.8359375,122,HASTSAL,0.0
