deployment_rank,Ward_No,Ward_Name,hotspot_count,max_aqi,avg_aqi,max_priority,deployment_score,dominant_source,recommended_team
1,133,CHHAWLA,528,153.1,95.20776515151515,59.85,74.56,Traffic/Roads,Traffic Enforcement Team
2,175,AYA NAGAR,200,192.1,116.9585,65.50999999999999,72.19975757575757,Traffic/Roads,Traffic Enforcement Team
3,140,KHERA,378,160.3,89.25079365079365,60.44666666666667,70.5568484848485,Traffic/Roads,Traffic Enforcement Team
4,28,BAWANA,474,142.4,97.50443037974684,58.69333333333333,69.91187878787879,Traffic/Roads,Traffic Enforcement Team
5,176,BHATI,159,178.1,110.76981132075473,64.57666666666667,67.47339393939393,Construction/Dust,Dust Control Team
6,227,I.P EXTENTION,16,201.9,118.11875,63.970000000000006,66.57406060606061,Traffic/Roads,Traffic Enforcement Team
7,30,MUNDAKA,126,173.6,127.87063492063491,65.62666666666667,65.74339393939394,Industry,Industrial Inspection Team
8,226,VISHWASH NAGAR,3,189.6,171.0666666666667,68.68,65.50563636363637,Traffic/Roads,Traffic Enforcement Team
9,168,NANAK PURA,6,186.3,138.65,69.75,65.38727272727274,Traffic/Roads,Traffic Enforcement Team
10,241,DILSHAD GARDEN,3,189.6,170.76666666666665,65.58333333333334,64.2669696969697,Traffic/Roads,Traffic Enforcement Team
11,NDMC_3,NDMC CHARGE 3,12,186.6,107.0,66.11666666666666,64.22121212121212,Traffic/Roads,Traffic Enforcement Team
12,264,HARSH VIHAR,153,168.1,99.27058823529411,60.67333333333333,63.68478787878788,Traffic/Roads,Traffic Enforcement Team
13,4,BAKHTAWAR PUR,372,130.8,85.9997311827957,56.14666666666666,62.70957575757576,Traffic/Roads,Traffic Enforcement Team
14,216,GHAROLI,57,164.7,104.56666666666666,68.94333333333333,62.67642424242423,Traffic/Roads,Traffic Enforcement Team
15,NDMC_9,NDMC CHARGE 9,12,189.6,148.275,60.440000000000005,62.55054545454546,Traffic/Roads,Traffic Enforcement Team
16,193,SRI NIWASPURI,6,186.7,137.91666666666666,59.2,61.24727272727272,Traffic/Roads,Traffic Enforcement Team
17,29,KARALA,159,154.5,118.97106918238994,59.223333333333336,60.612060606060616,Industry,Industrial Inspection Team
18,233,DHARAMPURA,3,167.1,158.0666666666667,67.27,60.44163636363637,Traffic/Roads,Traffic Enforcement Team
19,26,SAHIBABAD DAULAT PUR,21,187.2,97.63809523809525,55.43333333333334,60.40878787878788,Traffic/Roads,Traffic Enforcement Team
20,240,DILSHAD COLONY,42,165.0,114.43333333333332,64.33333333333333,60.32424242424243,Traffic/Roads,Traffic Enforcement Team
21,202,MEETHEYPUR,81,167.9,84.18641975308643,58.896666666666675,60.2068484848485,Traffic/Roads,Traffic Enforcement Team
22,204,MOLARBAND,54,165.0,93.79814814814816,62.79,60.161454545454546,Traffic/Roads,Traffic Enforcement Team
23,129,DABRI,6,164.6,151.41666666666666,66.81,59.87127272727273,Traffic/Roads,Traffic Enforcement Team
24,116,VIKASPURI EAST,6,165.0,156.51666666666668,65.53,59.43927272727273,Traffic/Roads,Traffic Enforcement Team
25,143,KAPASHERA,33,168.1,132.34848484848484,61.05666666666667,59.29266666666667,Traffic/Roads,Traffic Enforcement Team
26,172,KISHANGARH,39,164.7,103.15641025641025,61.78333333333333,59.13060606060606,Traffic/Roads,Traffic Enforcement Team
27,105,RAJOURI GARDEN,6,164.7,92.81666666666666,64.25,58.86727272727273,Traffic/Roads,Traffic Enforcement Team
28,5,BHALASWA JAHAGIR PUR,21,167.1,125.79047619047618,61.38333333333333,58.76878787878788,Traffic/Roads,Traffic Enforcement Team
29,139,DICHAON KALAN,87,160.6,105.84827586206896,57.22999999999999,58.30745454545454,Traffic/Roads,Traffic Enforcement Team
30,NDMC_5,NDMC CHARGE 5,15,163.5,98.25333333333333,61.470000000000006,57.85618181818183,Traffic/Roads,Traffic Enforcement Team
31,27,BEGUMPUR,69,157.0,98.56086956521739,57.94,57.189636363636374,Traffic/Roads,Traffic Enforcement Team
32,CANT_6,DELHI CANTT CHARGE 6,21,164.0,106.37142857142858,58.77666666666667,57.106121212121224,Construction/Dust,Dust Control Team
33,154,NIZAMUDDIN,9,164.6,120.76666666666668,59.279999999999994,56.9729090909091,Traffic/Roads,Traffic Enforcement Team
34,215,KONDLI,39,152.4,67.71282051282051,62.18,56.82927272727273,Traffic/Roads,Traffic Enforcement Team
35,225,ANAND VIHAR,11,153.1,103.33636363636364,63.416666666666664,56.40333333333333,Traffic/Roads,Traffic Enforcement Team
36,118,JANAK PURI SOUTH,3,153.8,145.43333333333334,63.07666666666667,56.104303030303036,Traffic/Roads,Traffic Enforcement Team
37,141,BIJWASAN,72,148.4,103.31666666666666,58.900000000000006,55.967272727272736,Traffic/Roads,Traffic Enforcement Team
38,77,KASHMERE GATE,3,153.8,145.43333333333334,62.31333333333334,55.79896969696971,Traffic/Roads,Traffic Enforcement Team
39,134,NANGLI SAKRAVATI,33,153.1,100.84242424242424,57.21000000000001,54.754000000000005,Traffic/Roads,Traffic Enforcement Team
40,99,MOTI NAGAR,6,145.6,98.66666666666667,63.446666666666665,54.72593939393939,Traffic/Roads,Traffic Enforcement Team
41,166,MUNIRKA,6,153.8,117.98333333333333,58.42666666666666,54.3579393939394,Traffic/Roads,Traffic Enforcement Team
42,110,NANGAL RAYA,3,153.8,145.43333333333334,58.37333333333334,54.222969696969706,Traffic/Roads,Traffic Enforcement Team
43,262,GOKALPUR,3,143.9,136.20000000000002,63.00333333333334,54.094969696969706,Traffic/Roads,Traffic Enforcement Team
44,230,GEETA COLONY,3,142.3,135.66666666666666,63.71666666666667,54.06030303030304,Traffic/Roads,Traffic Enforcement Team
45,158,KOTLA MUBARAKPUR,3,153.8,145.43333333333334,57.62666666666667,53.924303030303044,Traffic/Roads,Traffic Enforcement Team
46,7,BURARI,48,152.9,101.77708333333334,53.78333333333333,53.911515151515154,Industry,Industrial Inspection Team
47,119,MILAP NAGAR,3,141.5,134.43333333333334,63.60666666666666,53.85630303030303,Traffic/Roads,Traffic Enforcement Team
48,260,BABAR PUR,3,141.3,133.23333333333332,63.383333333333326,53.726969696969704,Traffic/Roads,Traffic Enforcement Team
49,244,SUNDER NAGARI,6,142.3,122.13333333333333,62.476666666666674,53.677939393939404,Traffic/Roads,Traffic Enforcement Team
50,161,MALVIYA NAGAR,6,144.6,117.36666666666666,61.16,53.61127272727273,Traffic/Roads,Traffic Enforcement Team
51,10,TIMAR PUR,6,153.8,139.76666666666668,56.49333333333334,53.58460606060607,Construction/Dust,Dust Control Team
52,109,JANAK PURI NORTH,6,141.5,134.43333333333334,62.52333333333334,53.53660606060607,Traffic/Roads,Traffic Enforcement Team
53,263,SABOLI,15,143.5,115.52666666666667,60.25666666666666,53.37084848484849,Traffic/Roads,Traffic Enforcement Team
54,208,SARITA VIHAR,18,147.3,97.90555555555555,57.13,52.99381818181819,Industry,Industrial Inspection Team
55,3,ALIPUR,75,138.1,91.94,55.98,52.852909090909094,Industry,Industrial Inspection Team
56,130,MANGLAPURI,3,138.2,131.03333333333333,62.63,52.805636363636374,Traffic/Roads,Traffic Enforcement Team
57,1,NARELA,66,132.2,105.84545454545454,59.53000000000001,52.752,Industry,Industrial Inspection Team
58,236,RAGHUBAR PURA,3,138.2,131.03333333333333,62.05,52.57363636363637,Traffic/Roads,Traffic Enforcement Team
59,75,KISHAN GANJ,3,143.5,135.83333333333334,58.03666666666667,52.02830303030304,Traffic/Roads,Traffic Enforcement Team
60,CANT_2,DELHI CANTT CHARGE 2,12,141.5,88.675,57.946666666666665,51.93321212121212,Traffic/Roads,Traffic Enforcement Team
61,258,KARDAM PURI,3,134.9,127.86666666666667,61.696666666666665,51.77230303030304,Traffic/Roads,Traffic Enforcement Team
62,169,LADOSARAI,12,152.4,101.04166666666667,51.72,51.62254545454546,Traffic/Roads,Traffic Enforcement Team
63,2,BANKNER,87,132.2,106.78045977011494,54.69333333333333,51.61278787878788,Traffic/Roads,Traffic Enforcement Team
64,206,OKHLA,9,144.6,121.65555555555557,54.779999999999994,51.172909090909094,Traffic/Roads,Traffic Enforcement Team
65,CANT_4,DELHI CANTT CHARGE 4,18,142.1,103.01111111111112,54.90333333333333,51.06315151515151,Traffic/Roads,Traffic Enforcement Team
66,122,HASTSAL,18,134.1,112.5,58.39,50.85781818181818,Traffic/Roads,Traffic Enforcement Team
67,146,SADH NAGAR,3,130.1,122.36666666666667,61.483333333333334,50.7269696969697,Traffic/Roads,Traffic Enforcement Team
68,85,IDGAH ROAD,3,138.1,131.76666666666668,56.92,50.50163636363637,Traffic/Roads,Traffic Enforcement Team
69,113,MAHAVIR NAGAR,3,131.2,122.73333333333333,60.20666666666667,50.43630303030303,Traffic/Roads,Traffic Enforcement Team
70,259,JANTA COLONY,3,128.2,123.16666666666667,61.526666666666664,50.364303030303034,Traffic/Roads,Traffic Enforcement Team
71,137,ROSHANPURA,15,132.7,95.53333333333333,57.916666666666664,50.274848484848484,Traffic/Roads,Traffic Enforcement Team
72,138,NAJAFGARH,3,132.7,124.63333333333333,58.736666666666665,50.14830303030303,Traffic/Roads,Traffic Enforcement Team
73,242,NEW SEEMA PURI,9,127.7,92.75555555555555,60.483333333333334,50.074242424242435,Traffic/Roads,Traffic Enforcement Team
74,150,PUSA,18,142.1,84.97222222222223,52.17666666666666,49.97248484848485,Traffic/Roads,Traffic Enforcement Team
75,200,HARKESH NAGAR,3,140.4,128.29999999999998,54.43000000000001,49.96563636363637,Industry,Industrial Inspection Team
76,239,VIVEK VIHAR,3,128.3,119.33333333333333,60.31666666666666,49.900303030303036,Traffic/Roads,Traffic Enforcement Team
77,18,LIBAS PUR,9,141.5,101.02222222222223,53.02666666666667,49.85157575757576,Traffic/Roads,Traffic Enforcement Team
78,194,EAST OF KAILASH,3,140.4,128.29999999999998,53.73,49.68563636363637,Traffic/Roads,Traffic Enforcement Team
79,121,KUNWAR SINGH NAGAR,9,136.0,111.35555555555555,55.18666666666667,49.61557575757577,Traffic/Roads,Traffic Enforcement Team
80,173,DEOLI,15,137.2,74.24666666666667,53.97333333333333,49.59751515151515,Traffic/Roads,Traffic Enforcement Team
81,229,KRISHNA  NAGAR,3,127.9,122.8,59.68333333333334,49.56696969696971,Traffic/Roads,Traffic Enforcement Team
82,234,GANDHI NAGAR,3,131.2,122.46666666666665,57.03333333333333,49.166969696969694,Traffic/Roads,Traffic Enforcement Team
83,214,KHICHRIPUR,15,125.5,101.1,58.403333333333336,49.02951515151515,Traffic/Roads,Traffic Enforcement Team
84,19,BHALSWA,3,132.9,124.26666666666667,55.77,49.00163636363637,Traffic/Roads,Traffic Enforcement Team
85,170,MEHRAULI,3,138.1,127.43333333333332,52.83333333333333,48.8669696969697,Traffic/Roads,Traffic Enforcement Team
86,44,QUAMMRUDDIN NAGAR,9,132.7,97.6888888888889,54.47666666666667,48.67157575757576,Traffic/Roads,Traffic Enforcement Team
87,72,MODEL TOWN,6,125.0,99.25,57.23,48.11927272727272,Traffic/Roads,Traffic Enforcement Team
88,25,POOTH KALAN,15,124.4,98.98,56.63333333333333,48.10151515151516,Traffic/Roads,Traffic Enforcement Team
89,80,CHANDNI CHOWK,6,121.6,113.08333333333333,58.763333333333335,48.05260606060606,Traffic/Roads,Traffic Enforcement Team
90,219,MAYUR VIHAR PHASE II,3,124.6,115.83333333333333,57.48,48.02563636363637,Traffic/Roads,Traffic Enforcement Team
91,145,PALAM,6,124.0,95.11666666666667,56.79,47.74327272727273,Traffic/Roads,Traffic Enforcement Team
92,271,KARAWAL NAGAR WEST,14,123.1,79.45714285714287,56.276666666666664,47.6609696969697,Traffic/Roads,Traffic Enforcement Team
93,92,DEV NAGAR,3,119.2,109.86666666666667,59.063333333333325,47.5789696969697,Traffic/Roads,Traffic Enforcement Team
94,42,PERAGHARHI,6,129.5,95.03333333333335,53.483333333333334,47.52060606060606,Industry,Industrial Inspection Team
95,127,UTTAM NAGAR,3,119.9,114.5,58.483333333333334,47.4869696969697,Traffic/Roads,Traffic Enforcement Team
96,246,ASHOK NAGAR,3,119.9,112.03333333333335,58.34666666666667,47.43230303030304,Traffic/Roads,Traffic Enforcement Team
97,8,JHARODA,24,126.6,98.61666666666667,52.973333333333336,47.418424242424244,Traffic/Roads,Traffic Enforcement Team
98,55,SHALIMAR BAGH NORTH,3,134.8,124.90000000000002,50.63666666666666,47.32830303030304,Traffic/Roads,Traffic Enforcement Team
99,272,SONIA VIHAR,66,115.5,74.0878787878788,54.25666666666667,47.30266666666667,Traffic/Roads,Traffic Enforcement Team
100,34,NITHARI,9,124.4,108.01111111111112,54.849999999999994,47.160909090909094,Traffic/Roads,Traffic Enforcement Team
101,65,NIMRI COLONY,3,125.0,119.66666666666667,54.79333333333334,47.0309696969697,Traffic/Roads,Traffic Enforcement Team
102,17,SAMAYPUR BADLI,6,127.9,104.86666666666667,52.90333333333333,46.968606060606064,Traffic/Roads,Traffic Enforcement Team
103,190,CHITRANJAN PARK,3,116.3,107.39999999999999,58.903333333333336,46.93496969696971,Traffic/Roads,Traffic Enforcement Team
104,218,MANDAWALI,3,120.4,112.13333333333333,56.78666666666667,46.90830303030304,Traffic/Roads,Traffic Enforcement Team
105,123,VIKAS PURI,3,134.1,125.06666666666666,49.75,46.833636363636366,Construction/Dust,Dust Control Team
106,56,SHALIMAR BAGH SOUTH,6,122.0,89.23333333333333,55.39333333333333,46.78460606060606,Traffic/Roads,Traffic Enforcement Team
107,83,BAZAR SITARAM,3,118.7,108.89999999999999,57.01333333333333,46.6589696969697,Traffic/Roads,Traffic Enforcement Team
108,207,MADANPUR KHADAR,66,112.1,75.73181818181818,54.306666666666665,46.64266666666667,Traffic/Roads,Traffic Enforcement Team
109,74,INDER LOK COLONY,6,117.4,102.88333333333333,56.58666666666667,46.341939393939406,Traffic/Roads,Traffic Enforcement Team
110,238,JHILMIL,6,117.2,94.73333333333333,56.263333333333335,46.172606060606064,Traffic/Roads,Traffic Enforcement Team
111,89,PAHAR GANJ,3,118.7,108.89999999999999,55.58333333333333,46.0869696969697,Traffic/Roads,Traffic Enforcement Team
112,95,EAST PATEL NAGAR,3,128.4,121.66666666666667,50.596666666666664,46.032303030303034,Traffic/Roads,Traffic Enforcement Team
113,265,SHIV VIHAR,25,118.0,87.42399999999999,53.516666666666666,45.95363636363636,Traffic/Roads,Traffic Enforcement Team
114,NDMC_4,NDMC CHARGE 4,9,118.7,87.75555555555555,54.513333333333335,45.88624242424243,Construction/Dust,Dust Control Team
115,21,ROHINI,9,123.8,76.98888888888888,51.31333333333333,45.626242424242434,Traffic/Roads,Traffic Enforcement Team
116,6,MUKUND PUR,12,115.5,84.54166666666667,54.61,45.398545454545456,Traffic/Roads,Traffic Enforcement Team
117,62,RAMPURA,6,116.7,100.93333333333334,54.43666666666667,45.3419393939394,Traffic/Roads,Traffic Enforcement Team
118,221,KISHAN KUNJ,3,111.8,104.63333333333333,57.14666666666667,45.33230303030303,Traffic/Roads,Traffic Enforcement Team
119,155,LAJPAT NAGAR,6,120.4,83.89999999999999,52.38666666666667,45.26193939393939,Traffic/Roads,Traffic Enforcement Team
120,78,MAJNU KA TILA,3,117.2,108.56666666666666,54.153333333333336,45.214969696969696,Traffic/Roads,Traffic Enforcement Team
121,144,MAHIPALPUR,12,120.3,93.10833333333333,51.61,45.15854545454546,Traffic/Roads,Traffic Enforcement Team
122,CANT_5,DELHI CANTT CHARGE 5,6,122.0,96.76666666666667,50.983333333333334,45.02060606060606,Construction/Dust,Dust Control Team
123,135,KAKRAULA,15,111.5,97.01333333333334,55.30333333333333,44.98951515151516,Traffic/Roads,Traffic Enforcement Team
124,15,SARAI PIPAL THALA,6,125.0,98.53333333333335,49.39333333333334,44.98460606060606,Traffic/Roads,Traffic Enforcement Team
